Year,Month,Journal,Journal Impact factor,Title,Commodity,Deposit type,Methodology,Title,Author,Public availability original dataset,Training/Application dataset type,Training vs Application dataset relationship,Training to application scope,url,_key
2023,October,Natural Resources Research,Unknown,A New Generation of Artificial Intelligence Algorithms for Mineral Prospectivity Mapping,Unknown,Orthomagmatic sulfide (Ni-Cu-PGE),Unknown,A New Generation of Artificial Intelligence Algorithms for Mineral Prospectivity Mapping,"Renguang Zuo, Yihui Xiong, Ziye Wang, Jian Wang, Oliver P. Kreuzer",Unknown,Geological data; Geophysical data; Geochemical data; Remote sensing data,Different,Region A to Region B,https://doi.org/10.1007/s11053-023-10237-w,natural resources research | renguang zuo yihui xiong ziye wang jian wang oliver p kreuzer | a new generation of artificial intelligence algorithms for mineral prospectivity mapping
2023,October,Natural Resources Research,Unknown,"Integration of ASTER and Soil Survey Data by Principal Components Analysis and One-Class Support Vector Machine for Mineral Prospectivity Mapping in Kerkasha, Southwestern Eritrea",Unknown,VMS (Volcanogenic Massive Sulfide),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; knowledge-driven > probabilistic > weights of evidence (WofE),"Integration of ASTER and Soil Survey Data by Principal Components Analysis and One-Class Support Vector Machine for Mineral Prospectivity Mapping in Kerkasha, Southwestern Eritrea","Finhas Tsehaye Zerai, Pece V. Gorsevski, Kurt S. Panter, John Farver, Majid H. Tangestani",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-023-10268-3,natural resources research | finhas tsehaye zerai pece v gorsevski kurt s panter john farver majid h tangestani | integration of aster and soil survey data by principal components analysis and one-class support vector machine for mineral prospectivity mapping in kerkasha southwestern eritrea
2023,October,Natural Resources Research,Unknown,A Framework for Data-Driven Mineral Prospectivity Mapping with Interpretable Machine Learning and Modulated Predictive Modeling,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > kernel-based > support vector machine,A Framework for Data-Driven Mineral Prospectivity Mapping with Interpretable Machine Learning and Modulated Predictive Modeling,"Nini Mou, Emmanuel John M. Carranza, Gongwen Wang, Xiang Sun",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-023-10272-7,natural resources research | nini mou emmanuel john m carranza gongwen wang xiang sun | a framework for data-driven mineral prospectivity mapping with interpretable machine learning and modulated predictive modeling
2024,March,Natural Resources Research,Unknown,Data-Driven Mineral Prospectivity Mapping Based on Known Deposits Using Association Rules,Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT),Data-Driven Mineral Prospectivity Mapping Based on Known Deposits Using Association Rules,"Xiaotong Yu, Pengpeng Yu, Kunyi Wang, Wei Cao, Yongzhang Zhou",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-024-10328-2,natural resources research | xiaotong yu pengpeng yu kunyi wang wei cao yongzhang zhou | data-driven mineral prospectivity mapping based on known deposits using association rules
2024,May,Natural Resources Research,Unknown,A Heterogeneous Graph Construction Method for Mineral Prospectivity Mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > deep learning > graph neural network; supervised > deep learning > graph attention network,A Heterogeneous Graph Construction Method for Mineral Prospectivity Mapping,"Luyi Shi, Ying Xu, Renguang Zuo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-024-10344-2,natural resources research | luyi shi ying xu renguang zuo | a heterogeneous graph construction method for mineral prospectivity mapping
2024,December,Natural Resources Research,Unknown,Mineral Prospectivity Mapping and Differential Metal Endowment Between Two Greenstone Belts in the Canadian Superior Craton,Unknown,Orogenic (lode) gold,supervised > tree-based > random forest,Mineral Prospectivity Mapping and Differential Metal Endowment Between Two Greenstone Belts in the Canadian Superior Craton,"J. R. Harris, J. Strong, P. Thurston, K. Nymoen, R. Haugaard, M. Naghizadeh, G. Tuba, P. Behnia, E. Grunsky, J. Ayer, R. Smith, R. Sherlock, A. Reza-Mokhtari",True,Gold data; points; Geological data; shapefiles; Lithogeochemical data; points; Geophysical data; continuous surface maps,Different,Training from Matheson and Dryden areas to application in gold exploration,https://doi.org/10.1007/s11053-024-10432-3,natural resources research | j r harris j strong p thurston k nymoen r haugaard m naghizadeh g tuba p behnia e grunsky j ayer r smith r sherlock a reza-mokhtari | mineral prospectivity mapping and differential metal endowment between two greenstone belts in the canadian superior craton
2025,April,Natural Resources Research,Unknown,"Prospectivity Modeling of Devonian Intrusion-Related W–Mo–Sb–Au Deposits in the Pokiok Plutonic Suite, West-Central New Brunswick, Canada, Using a Monte Carlo-Based Framework",Unknown,Orthomagmatic sulfide (Ni-Cu-PGE),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > tree-based > decision tree (CART),"Prospectivity Modeling of Devonian Intrusion-Related W–Mo–Sb–Au Deposits in the Pokiok Plutonic Suite, West-Central New Brunswick, Canada, Using a Monte Carlo-Based Framework",Amirabbas Karbalaeiramezanali; Mohammad Parsa; David R. Lentz; Kathleen G. Thorne,True,Geophysical data; nT; Geochemical data; ppm; Geological bedrock data; Unknown,Different,Region A to Region B,https://doi.org/10.1007/s11053-024-10437-y,natural resources research | amirabbas karbalaeiramezanali mohammad parsa david r lentz kathleen g thorne | prospectivity modeling of devonian intrusion-related wmosbau deposits in the pokiok plutonic suite west-central new brunswick canada using a monte carlo-based framework
2025,April,Natural Resources Research,Unknown,Interpretability Analysis of Data Augmented Convolutional Neural Network in Mineral Prospectivity Mapping Using Black-Box Visualization Tools,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); supervised > tree-based > random forest,Interpretability Analysis of Data Augmented Convolutional Neural Network in Mineral Prospectivity Mapping Using Black-Box Visualization Tools,"Yue Liu, Tao Sun, Kaixing Wu, Wenyuan Xiang, Jingwei Zhang, Hongwei Zhang, Mei Feng",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-025-10462-5,natural resources research | yue liu tao sun kaixing wu wenyuan xiang jingwei zhang hongwei zhang mei feng | interpretability analysis of data augmented convolutional neural network in mineral prospectivity mapping using black-box visualization tools
2025,October,Natural Resources Research,Unknown,Recursive Annotation for Negative Labeling in Data-Driven Mineral Prospectivity Mapping,Unknown,Orthomagmatic sulfide (Ni-Cu-PGE),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT),Recursive Annotation for Negative Labeling in Data-Driven Mineral Prospectivity Mapping,"Steven E. Zhang, Daniel Coutts, Mohammad Parsa, Renato Cumani, Aaron Thompson",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-025-10510-0,natural resources research | steven e zhang daniel coutts mohammad parsa renato cumani aaron thompson | recursive annotation for negative labeling in data-driven mineral prospectivity mapping
2024,September,Science China Earth Sciences,Unknown,Explainable artificial intelligence models for mineral prospectivity mapping,Unknown,Unknown,supervised > tree-based > random forest,Explainable artificial intelligence models for mineral prospectivity mapping,"Renguang ZUO, Qiuming CHENG, Ying XU, Fanfan YANG, Yihui XIONG, Ziye WANG, Oliver P. KREUZER",Unknown,Geological data; Geochemical data; Geophysical data; Remote sensing data; Drilling data,Different,Region A to Region B,https://doi.org/10.1007/s11430-024-1309-9,science china earth sciences | renguang zuo qiuming cheng ying xu fanfan yang yihui xiong ziye wang oliver p kreuzer | explainable artificial intelligence models for mineral prospectivity mapping
2023,November,Earth Science Informatics,Unknown,"First-Pass prospectivity mapping for Au–Ag mineralization in Sikhote–Alin Superterrane, Southeast Russia through field sampling, image enhancement on ASTER data, and MaxEnt modeling",Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine,"First-Pass prospectivity mapping for Au–Ag mineralization in Sikhote–Alin Superterrane, Southeast Russia through field sampling, image enhancement on ASTER data, and MaxEnt modeling",Sergei Shevyrev; Ekaterina V. Gorobeyko; Emmanuel John M. Carranza; Natalia G. Boriskina,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s12145-022-00906-4,earth science informatics | sergei shevyrev ekaterina v gorobeyko emmanuel john m carranza natalia g boriskina | first-pass prospectivity mapping for auag mineralization in sikhotealin superterrane southeast russia through field sampling image enhancement on aster data and maxent modeling
2023,December,Arabian Journal of Geosciences,Unknown,Execution of an applicable hybrid integration procedure for mineral prospectivity mapping,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); knowledge-driven > multicriteria decision analysis > TOPSIS; knowledge-driven > multicriteria decision analysis > VIKOR; knowledge-driven > probabilistic > evidential belief function (Dempster–Shafer),Execution of an applicable hybrid integration procedure for mineral prospectivity mapping,"Hamid Sabbaghi, Seyed Hassan Tabatabaei",True,Geochemical samples; ppm; Geological evidence layers; Unknown; Fault evidence layers; Unknown; Alteration evidence layers; Unknown,Different,Region A to Region B,https://doi.org/10.1007/s12517-022-11094-2,arabian journal of geosciences | hamid sabbaghi seyed hassan tabatabaei | execution of an applicable hybrid integration procedure for mineral prospectivity mapping
2024,September,Scientific Reports,Unknown,Mineral prospectivity prediction based on convolutional neural network and ensemble learning,Unknown,Orogenic (lode) gold,supervised > deep learning > ensemble learning,Mineral prospectivity prediction based on convolutional neural network and ensemble learning,"Hujun He, Haolei Zhu, Xingke Yang, Weiwei Zhang, Jinghao Wang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1038/s41598-024-73357-0,scientific reports | hujun he haolei zhu xingke yang weiwei zhang jinghao wang | mineral prospectivity prediction based on convolutional neural network and ensemble learning
2025,August,Scientific Reports,Unknown,Deep learning and fractal-wavelet techniques for magnetite-apatite exploration in Tarom Iran,Unknown,IOA (Iron Oxide-Apatite),supervised > deep learning > CNN; supervised > deep learning > ResNet; supervised > deep learning > VGG-19; supervised > deep learning > GoogleNet; supervised > deep learning > AlexNet,Deep learning and fractal-wavelet techniques for magnetite-apatite exploration in Tarom Iran,"Mohammad Mahdi Pourgholam, Ahmad Adib, Peyman Afzal, Kambiz Rahbar, Mehran Gholinejad",Available upon request,Geological features; Unknown; Geochemical data; Unknown; Geophysical data; Unknown; Remote sensing data; Unknown,Different,Region A to Region B,https://doi.org/10.1038/s41598-025-16040-2,scientific reports | mohammad mahdi pourgholam ahmad adib peyman afzal kambiz rahbar mehran gholinejad | deep learning and fractal-wavelet techniques for magnetite-apatite exploration in tarom iran
2021,June,Z. Dt. Ges. Geowiss.,Unknown,"Mineral prospectivity mapping of Cu-Au by integrating AHP technique with ARAS and WASPAS models in the Sonajil area, E-Azerbaijan",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > multicriteria decision analysis > AHP; knowledge-driven > multicriteria decision analysis > ARAS; knowledge-driven > multicriteria decision analysis > WASPAS,"Mineral prospectivity mapping of Cu-Au by integrating AHP technique with ARAS and WASPAS models in the Sonajil area, E-Azerbaijan",Mohammadjafar Mohammadzadeh; Aynur Nasseri; Majid Mahboubiaghdam; Moharram Jahangiri,Unknown,Geochemical samples; g/t; Fault density; Unknown; Alteration maps; Unknown; Geological maps; Unknown,Different,Region A to Region B,https://doi.org/10.1127/zdgg/2021/0256,z dt ges geowiss | mohammadjafar mohammadzadeh aynur nasseri majid mahboubiaghdam moharram jahangiri | mineral prospectivity mapping of cu-au by integrating ahp technique with aras and waspas models in the sonajil area e-azerbaijan
